Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","004","Afghanistan","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","40099.46","X","Figure from international organizations"
"FBS","Food Balances (2010-)","004","Afghanistan","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","50.22","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","10.48","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","2854.71","X","Figure from international organizations"
"FBS","Food Balances (2010-)","008","Albania","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","53.43","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","66.7","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","44177.97","X","Figure from international organizations"
"FBS","Food Balances (2010-)","012","Algeria","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","67.53","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","26.21","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","34503.77","X","Figure from international organizations"
"FBS","Food Balances (2010-)","024","Angola","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","32.86","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","13.92","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","93.22","X","Figure from international organizations"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","26.58","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","62.86","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","45276.78","X","Figure from international organizations"
"FBS","Food Balances (2010-)","032","Argentina","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","44.1","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","75.85","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","2790.97","X","Figure from international organizations"
"FBS","Food Balances (2010-)","051","Armenia","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","52.15","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","56.38","E","Estimated value"
"FBS","Food Balances (2010-)","036","Australia","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","25921.09","X","Figure from international organizations"
"FBS","Food Balances (2010-)","036","Australia","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","41.86","E","Estimated value"
"FBS","Food Balances (2010-)","036","Australia","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","77.69","E","Estimated value"
"FBS","Food Balances (2010-)","040","Austria","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","8922.08","X","Figure from international organizations"
"FBS","Food Balances (2010-)","040","Austria","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","43","E","Estimated value"
"FBS","Food Balances (2010-)","040","Austria","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","67.19","E","Estimated value"
"FBS","Food Balances (2010-)","031","Azerbaijan","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","10312.99","X","Figure from international organizations"
"FBS","Food Balances (2010-)","031","Azerbaijan","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","61.47","E","Estimated value"
"FBS","Food Balances (2010-)","031","Azerbaijan","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","37.02","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","407.91","X","Figure from international organizations"
"FBS","Food Balances (2010-)","044","Bahamas","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","31.77","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","67.64","E","Estimated value"
"FBS","Food Balances (2010-)","048","Bahrain","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","1463.27","X","Figure from international organizations"
"FBS","Food Balances (2010-)","048","Bahrain","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","46.56","E","Estimated value"
"FBS","Food Balances (2010-)","048","Bahrain","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","59.21","E","Estimated value"
"FBS","Food Balances (2010-)","050","Bangladesh","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","169356.25","X","Figure from international organizations"
"FBS","Food Balances (2010-)","050","Bangladesh","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","52.3","E","Estimated value"
"FBS","Food Balances (2010-)","050","Bangladesh","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","13.21","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","281.2","X","Figure from international organizations"
"FBS","Food Balances (2010-)","052","Barbados","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","45.94","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","62.21","E","Estimated value"
"FBS","Food Balances (2010-)","112","Belarus","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","9578.17","X","Figure from international organizations"
